Census year,CLUE small area,ANZSIC indusrty,Business size,Total establishments,Total jobs
2002,Carlton,Accommodation and Food Services,Medium business,15,466
2002,Carlton,Accommodation and Food Services,Small business,165,1210
2002,Carlton,Administrative and Support Services,Medium business,4,110
2002,Carlton,Administrative and Support Services,Small business,36,208
2002,Carlton,Arts and Recreation Services,Non employing,15,0
2002,Carlton,Construction,Medium business,4,278
2002,Carlton,Construction,Small business,9,68
2002,Carlton,Education and Training,Medium business,15,1087
2002,Carlton,Financial and Insurance Services,Medium business,8,450
2002,Carlton,Health Care and Social Assistance,Large business,4,2483
2002,Carlton,Information Media and Telecommunications,Large business,1,
2002,Carlton,Information Media and Telecommunications,Medium business,7,414
2002,Carlton,Manufacturing,Small business,30,180
2002,Carlton,Other Services,Medium business,18,856
2002,Carlton,Other Services,Small business,122,602
2002,Carlton,Public Administration and Safety,Small business,7,29
2002,Carlton,"Rental, Hiring and Real Estate Services",Small business,14,88
2002,Carlton,Retail Trade,Large business,1,
2002,Carlton,Retail Trade,Medium business,7,487
2002,Carlton,"Transport, Postal and Warehousing",Small business,8,58
2002,Docklands,Accommodation and Food Services,Large business,2,
2002,Docklands,Administrative and Support Services,Large business,1,
2002,Docklands,Administrative and Support Services,Medium business,1,
2002,Docklands,"Agriculture, Forestry and Fishing",Small business,1,
2002,Docklands,Arts and Recreation Services,Medium business,1,
2002,Docklands,Arts and Recreation Services,Non employing,2,
2002,Docklands,Construction,Small business,3,23
2002,Docklands,Education and Training,Small business,1,
2002,Docklands,"Electricity, Gas, Water and Waste Services",Non employing,5,0
2002,Docklands,Health Care and Social Assistance,Small business,3,18
2002,Docklands,Information Media and Telecommunications,Large business,1,
2002,Docklands,Information Media and Telecommunications,Small business,2,
2002,Docklands,Manufacturing,Small business,3,12
2002,Docklands,Other Services,Small business,12,40
2002,Docklands,Public Administration and Safety,Medium business,3,341
2002,Docklands,Retail Trade,Medium business,1,
2002,Docklands,"Transport, Postal and Warehousing",Large business,1,
2002,Docklands,"Transport, Postal and Warehousing",Non employing,5,0
2002,Docklands,"Transport, Postal and Warehousing",Small business,22,149
2002,East Melbourne,Arts and Recreation Services,Large business,1,
2002,East Melbourne,Arts and Recreation Services,Non employing,16,0
2002,East Melbourne,Construction,Small business,4,31
2002,East Melbourne,Education and Training,Medium business,7,472
2002,East Melbourne,"Electricity, Gas, Water and Waste Services",Large business,1,
2002,East Melbourne,Health Care and Social Assistance,Large business,5,4904
2002,East Melbourne,Health Care and Social Assistance,Non employing,1,
2002,East Melbourne,Information Media and Telecommunications,Medium business,1,
2002,East Melbourne,Information Media and Telecommunications,Small business,9,49
2002,East Melbourne,Other Services,Medium business,5,412
2002,East Melbourne,Other Services,Small business,31,154
2002,East Melbourne,"Professional, Scientific and Technical Services",Medium business,19,701
2002,East Melbourne,Public Administration and Safety,Large business,8,3593
2002,East Melbourne,Public Administration and Safety,Medium business,5,329
2002,East Melbourne,"Rental, Hiring and Real Estate Services",Small business,4,38
2002,East Melbourne,Retail Trade,Small business,15,59
2002,Kensington,Education and Training,Small business,1,
2002,Kensington,"Electricity, Gas, Water and Waste Services",Non employing,4,0
2002,Kensington,Financial and Insurance Services,Small business,2,
2002,Kensington,Health Care and Social Assistance,Medium business,1,
2002,Kensington,Health Care and Social Assistance,Small business,7,22
2002,Kensington,Manufacturing,Small business,14,119
2002,Kensington,"Professional, Scientific and Technical Services",Small business,6,29
2002,Kensington,"Rental, Hiring and Real Estate Services",Medium business,1,
2002,Melbourne (CBD),Accommodation and Food Services,Large business,4,1730
2002,Melbourne (CBD),Administrative and Support Services,Medium business,78,3771
2002,Melbourne (CBD),Administrative and Support Services,Non employing,4,0
2002,Melbourne (CBD),Construction,Small business,57,334
2002,Melbourne (CBD),Education and Training,Large business,5,2632
2002,Melbourne (CBD),Education and Training,Medium business,36,1999
2002,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Large business,4,1495
2002,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Medium business,6,538
2002,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Non employing,33,0
2002,Melbourne (CBD),Financial and Insurance Services,Medium business,147,8768
2002,Melbourne (CBD),Health Care and Social Assistance,Small business,312,1318
2002,Melbourne (CBD),Information Media and Telecommunications,Medium business,49,3066
2002,Melbourne (CBD),Information Media and Telecommunications,Non employing,5,0
2002,Melbourne (CBD),Other Services,Non employing,57,0
2002,Melbourne (CBD),Other Services,Small business,501,2132
2002,Melbourne (CBD),"Professional, Scientific and Technical Services",Medium business,228,11826
2002,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,22,1021
2002,Melbourne (CBD),Retail Trade,Large business,7,4160
2002,Melbourne (CBD),Retail Trade,Small business,1237,5695
2002,Melbourne (Remainder),Accommodation and Food Services,Medium business,6,261
2002,Melbourne (Remainder),Administrative and Support Services,Small business,23,147
2002,Melbourne (Remainder),Arts and Recreation Services,Non employing,22,0
2002,Melbourne (Remainder),Arts and Recreation Services,Small business,9,72
2002,Melbourne (Remainder),Education and Training,Large business,2,
2002,Melbourne (Remainder),Financial and Insurance Services,Small business,25,140
2002,Melbourne (Remainder),Information Media and Telecommunications,Small business,5,27
2002,Melbourne (Remainder),Manufacturing,Small business,5,24
2002,Melbourne (Remainder),Mining,Small business,2,
2002,Melbourne (Remainder),Other Services,Medium business,2,
2002,Melbourne (Remainder),Public Administration and Safety,Medium business,2,
2002,Melbourne (Remainder),"Rental, Hiring and Real Estate Services",Small business,5,28
2002,Melbourne (Remainder),Retail Trade,Large business,1,
2002,Melbourne (Remainder),Retail Trade,Small business,15,66
2002,Melbourne (Remainder),"Transport, Postal and Warehousing",Small business,6,38
2002,North Melbourne,Administrative and Support Services,Medium business,7,345
2002,North Melbourne,Construction,Non employing,1,
2002,North Melbourne,Education and Training,Small business,8,38
2002,North Melbourne,"Electricity, Gas, Water and Waste Services",Non employing,21,0
2002,North Melbourne,Health Care and Social Assistance,Medium business,3,306
2002,North Melbourne,Manufacturing,Medium business,8,350
2002,North Melbourne,Manufacturing,Small business,56,307
2002,North Melbourne,Other Services,Medium business,4,193
2002,North Melbourne,Public Administration and Safety,Small business,2,
2002,North Melbourne,"Rental, Hiring and Real Estate Services",Small business,14,116
2002,North Melbourne,Retail Trade,Small business,87,358
2002,North Melbourne,"Transport, Postal and Warehousing",Non employing,2,
2002,North Melbourne,"Transport, Postal and Warehousing",Small business,35,181
2002,Parkville,Accommodation and Food Services,Non employing,10,0
2002,Parkville,Accommodation and Food Services,Small business,31,252
2002,Parkville,Administrative and Support Services,Small business,3,15
2002,Parkville,"Electricity, Gas, Water and Waste Services",Medium business,1,
2002,Parkville,"Electricity, Gas, Water and Waste Services",Non employing,6,0
2002,Parkville,Manufacturing,Large business,1,
2002,Parkville,Other Services,Medium business,3,77
2002,Parkville,Other Services,Non employing,1,
2002,Parkville,Other Services,Small business,17,103
2002,Parkville,"Professional, Scientific and Technical Services",Medium business,2,
2002,Parkville,Public Administration and Safety,Medium business,1,
2002,Parkville,Public Administration and Safety,Small business,2,
2002,Parkville,Retail Trade,Small business,16,65
2002,Parkville,"Transport, Postal and Warehousing",Small business,3,9
2002,Parkville,Wholesale Trade,Small business,3,18
2002,Port Melbourne,Administrative and Support Services,Small business,5,44
2002,Port Melbourne,Arts and Recreation Services,Non employing,5,0
2002,Port Melbourne,Education and Training,Medium business,1,
2002,Port Melbourne,Financial and Insurance Services,Small business,2,
2002,Port Melbourne,Information Media and Telecommunications,Non employing,1,
2002,Port Melbourne,Manufacturing,Large business,6,4951
2002,Port Melbourne,Manufacturing,Medium business,12,680
2002,Port Melbourne,Manufacturing,Small business,19,179
2002,Port Melbourne,"Professional, Scientific and Technical Services",Medium business,8,603
2002,Port Melbourne,Public Administration and Safety,Large business,1,
2002,Port Melbourne,Public Administration and Safety,Small business,1,
2002,Port Melbourne,"Rental, Hiring and Real Estate Services",Medium business,1,
2002,Port Melbourne,Retail Trade,Medium business,3,98
2002,Port Melbourne,"Transport, Postal and Warehousing",Large business,2,
2002,Port Melbourne,Wholesale Trade,Large business,3,852
2002,South Yarra,Accommodation and Food Services,Medium business,3,71
2002,South Yarra,Accommodation and Food Services,Small business,11,66
2002,South Yarra,Administrative and Support Services,Small business,1,
2002,South Yarra,Arts and Recreation Services,Non employing,3,0
2002,South Yarra,Arts and Recreation Services,Small business,1,
2002,South Yarra,Education and Training,Large business,1,
2002,South Yarra,Education and Training,Medium business,2,
2002,South Yarra,Education and Training,Small business,6,29
2002,South Yarra,Health Care and Social Assistance,Small business,5,19
2002,South Yarra,Information Media and Telecommunications,Small business,1,
2002,South Yarra,Other Services,Non employing,3,0
2002,South Yarra,Other Services,Small business,8,34
2002,South Yarra,Public Administration and Safety,Small business,2,
2002,Southbank,Accommodation and Food Services,Medium business,39,1642
2002,Southbank,Administrative and Support Services,Medium business,4,101
2002,Southbank,Construction,Medium business,4,148
2002,Southbank,Financial and Insurance Services,Medium business,7,433
2002,Southbank,Information Media and Telecommunications,Medium business,22,1616
2002,Southbank,Information Media and Telecommunications,Non employing,1,
2002,Southbank,Manufacturing,Large business,4,2018
2002,Southbank,Mining,Large business,2,
2002,Southbank,Other Services,Non employing,8,0
2002,Southbank,"Professional, Scientific and Technical Services",Large business,2,
2002,Southbank,Public Administration and Safety,Medium business,7,309
2002,Southbank,"Rental, Hiring and Real Estate Services",Small business,13,77
2002,Southbank,Retail Trade,Medium business,8,358
2002,Southbank,Wholesale Trade,Small business,19,109
2002,West Melbourne (Industrial),Accommodation and Food Services,Small business,10,36
2002,West Melbourne (Industrial),Arts and Recreation Services,Non employing,5,0
2002,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services",Medium business,1,
2002,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services",Non employing,7,0
2002,West Melbourne (Industrial),Other Services,Small business,8,47
2002,West Melbourne (Industrial),"Professional, Scientific and Technical Services",Small business,6,35
2002,West Melbourne (Industrial),Retail Trade,Small business,8,37
2002,West Melbourne (Industrial),"Transport, Postal and Warehousing",Large business,3,1088
2002,West Melbourne (Residential),Accommodation and Food Services,Medium business,1,
2002,West Melbourne (Residential),Accommodation and Food Services,Non employing,1,
2002,West Melbourne (Residential),Accommodation and Food Services,Small business,42,292
2002,West Melbourne (Residential),Administrative and Support Services,Small business,19,99
2002,West Melbourne (Residential),Construction,Medium business,2,
2002,West Melbourne (Residential),Construction,Small business,9,50
2002,West Melbourne (Residential),Financial and Insurance Services,Large business,1,
2002,West Melbourne (Residential),Health Care and Social Assistance,Medium business,4,159
2002,West Melbourne (Residential),Mining,Small business,1,
2002,West Melbourne (Residential),Public Administration and Safety,Small business,4,18
2002,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Medium business,1,
2002,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Small business,3,17
2002,West Melbourne (Residential),Retail Trade,Medium business,4,266
2002,West Melbourne (Residential),Retail Trade,Small business,43,201
2002,West Melbourne (Residential),"Transport, Postal and Warehousing",Non employing,2,
2003,Carlton,Accommodation and Food Services,Non employing,5,0
2003,Carlton,Administrative and Support Services,Medium business,4,164
2003,Carlton,Administrative and Support Services,Small business,33,217
2003,Carlton,Arts and Recreation Services,Large business,1,
2003,Carlton,Arts and Recreation Services,Medium business,2,
2003,Carlton,Education and Training,Non employing,6,0
2003,Carlton,Health Care and Social Assistance,Small business,78,443
2003,Carlton,Information Media and Telecommunications,Non employing,1,
2003,Carlton,Other Services,Non employing,13,0
2003,Carlton,"Professional, Scientific and Technical Services",Medium business,17,740
2003,Carlton,Public Administration and Safety,Medium business,8,446
2003,Carlton,Retail Trade,Large business,1,
2003,Carlton,"Transport, Postal and Warehousing",Non employing,4,0
2003,Carlton,"Transport, Postal and Warehousing",Small business,7,30
2003,Carlton,Wholesale Trade,Small business,23,99
2003,Docklands,Accommodation and Food Services,Medium business,9,505
2003,Docklands,Arts and Recreation Services,Medium business,2,
2003,Docklands,Arts and Recreation Services,Small business,3,14
2003,Docklands,Financial and Insurance Services,Non employing,1,
2003,Docklands,Other Services,Non employing,3,0
2003,Docklands,"Professional, Scientific and Technical Services",Non employing,1,
2003,Docklands,Public Administration and Safety,Large business,3,2931
2003,Docklands,"Rental, Hiring and Real Estate Services",Small business,2,
2003,Docklands,Retail Trade,Medium business,1,
2003,Docklands,Retail Trade,Non employing,1,
2003,Docklands,Retail Trade,Small business,14,58
2003,Docklands,"Transport, Postal and Warehousing",Small business,11,51
2003,East Melbourne,Accommodation and Food Services,Medium business,4,174
2003,East Melbourne,Accommodation and Food Services,Small business,43,258
2003,East Melbourne,"Agriculture, Forestry and Fishing",Small business,1,
2003,East Melbourne,Arts and Recreation Services,Large business,1,
2003,East Melbourne,Arts and Recreation Services,Non employing,14,0
2003,East Melbourne,Education and Training,Small business,6,62
2003,East Melbourne,Financial and Insurance Services,Large business,2,
2003,East Melbourne,Financial and Insurance Services,Medium business,6,464
2003,East Melbourne,Financial and Insurance Services,Small business,7,49
2003,East Melbourne,Health Care and Social Assistance,Large business,6,5089
2003,East Melbourne,Health Care and Social Assistance,Non employing,1,
2003,East Melbourne,Health Care and Social Assistance,Small business,85,461
2003,East Melbourne,Information Media and Telecommunications,Large business,1,
2003,East Melbourne,Manufacturing,Large business,1,
2003,East Melbourne,Manufacturing,Small business,5,40
2003,East Melbourne,Other Services,Non employing,4,0
2003,East Melbourne,Public Administration and Safety,Large business,8,3209
2003,East Melbourne,Public Administration and Safety,Medium business,6,363
2003,East Melbourne,Public Administration and Safety,Small business,3,22
2003,East Melbourne,Retail Trade,Non employing,1,
2003,Kensington,Accommodation and Food Services,Medium business,1,
2003,Kensington,Arts and Recreation Services,Medium business,7,315
2003,Kensington,Arts and Recreation Services,Non employing,39,0
2003,Kensington,Health Care and Social Assistance,Non employing,1,
2003,Kensington,Health Care and Social Assistance,Small business,7,22
2003,Kensington,Public Administration and Safety,Small business,2,
2003,Kensington,"Rental, Hiring and Real Estate Services",Medium business,1,
2003,Kensington,"Transport, Postal and Warehousing",Medium business,1,
2003,Kensington,"Transport, Postal and Warehousing",Small business,3,14
2003,Melbourne (CBD),Accommodation and Food Services,Large business,4,1730
2003,Melbourne (CBD),Accommodation and Food Services,Medium business,124,5752
2003,Melbourne (CBD),Administrative and Support Services,Non employing,4,0
2003,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,6,30
2003,Melbourne (CBD),Arts and Recreation Services,Medium business,16,1032
2003,Melbourne (CBD),Construction,Medium business,10,616
2003,Melbourne (CBD),Education and Training,Small business,98,713
2003,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,10,94
2003,Melbourne (CBD),Financial and Insurance Services,Medium business,147,8768
2003,Melbourne (CBD),Other Services,Medium business,44,2042
2003,Melbourne (CBD),Other Services,Non employing,57,0
2003,Melbourne (CBD),Public Administration and Safety,Large business,25,13185
2003,Melbourne (CBD),Public Administration and Safety,Non employing,1,
2003,Melbourne (CBD),Retail Trade,Medium business,60,2725
2003,Melbourne (CBD),Retail Trade,Small business,1237,5695
2003,Melbourne (CBD),"Transport, Postal and Warehousing",Non employing,13,0
2003,Melbourne (CBD),"Transport, Postal and Warehousing",Small business,85,582
2003,Melbourne (Remainder),Accommodation and Food Services,Medium business,6,261
2003,Melbourne (Remainder),Arts and Recreation Services,Non employing,22,0
2003,Melbourne (Remainder),Construction,Medium business,2,
2003,Melbourne (Remainder),Construction,Small business,3,24
2003,Melbourne (Remainder),Financial and Insurance Services,Large business,4,1533
2003,Melbourne (Remainder),Financial and Insurance Services,Medium business,10,461
2003,Melbourne (Remainder),Health Care and Social Assistance,Medium business,3,195
2003,Melbourne (Remainder),Health Care and Social Assistance,Small business,49,224
2003,Melbourne (Remainder),Manufacturing,Small business,5,24
2003,Melbourne (Remainder),Mining,Large business,1,
2003,Melbourne (Remainder),Other Services,Medium business,2,
2003,Melbourne (Remainder),Other Services,Small business,19,64
2003,Melbourne (Remainder),"Professional, Scientific and Technical Services",Non employing,1,
2003,Melbourne (Remainder),Retail Trade,Large business,1,
2003,Melbourne (Remainder),"Transport, Postal and Warehousing",Medium business,1,
2003,Melbourne (Remainder),Wholesale Trade,Small business,5,23
2003,North Melbourne,Accommodation and Food Services,Small business,81,478
2003,North Melbourne,Arts and Recreation Services,Non employing,9,0
2003,North Melbourne,Construction,Small business,15,99
2003,North Melbourne,Education and Training,Non employing,1,
2003,North Melbourne,Health Care and Social Assistance,Large business,1,
2003,North Melbourne,Manufacturing,Medium business,8,238
2003,North Melbourne,Manufacturing,Small business,68,349
2003,North Melbourne,Public Administration and Safety,Medium business,3,112
2003,North Melbourne,Public Administration and Safety,Small business,1,
2003,North Melbourne,"Rental, Hiring and Real Estate Services",Medium business,2,
2003,North Melbourne,Retail Trade,Small business,90,355
2003,North Melbourne,Wholesale Trade,Non employing,2,
2003,North Melbourne,Wholesale Trade,Small business,57,317
2003,Parkville,Accommodation and Food Services,Non employing,2,
2003,Parkville,Administrative and Support Services,Small business,3,13
2003,Parkville,Arts and Recreation Services,Large business,1,
2003,Parkville,Arts and Recreation Services,Non employing,13,0
2003,Parkville,Education and Training,Medium business,6,499
2003,Parkville,Education and Training,Small business,4,34
2003,Parkville,Financial and Insurance Services,Medium business,1,
2003,Parkville,Information Media and Telecommunications,Small business,1,
2003,Parkville,Manufacturing,Large business,1,
2003,Parkville,Manufacturing,Medium business,1,
2003,Parkville,Manufacturing,Small business,2,
2003,Parkville,Other Services,Small business,19,114
2003,Parkville,Public Administration and Safety,Large business,1,
2003,Parkville,"Transport, Postal and Warehousing",Non employing,1,
2003,Parkville,"Transport, Postal and Warehousing",Small business,3,12
2003,Parkville,Wholesale Trade,Small business,2,
2003,Port Melbourne,Accommodation and Food Services,Small business,2,
2003,Port Melbourne,Administrative and Support Services,Medium business,1,
2003,Port Melbourne,Administrative and Support Services,Small business,5,44
2003,Port Melbourne,Construction,Medium business,4,185
2003,Port Melbourne,Education and Training,Medium business,1,
2003,Port Melbourne,Education and Training,Small business,1,
2003,Port Melbourne,"Electricity, Gas, Water and Waste Services",Non employing,5,0
2003,Port Melbourne,Information Media and Telecommunications,Non employing,1,
2003,Port Melbourne,Manufacturing,Medium business,12,680
2003,Port Melbourne,Mining,Small business,1,
2003,Port Melbourne,Public Administration and Safety,Large business,1,
2003,Port Melbourne,"Transport, Postal and Warehousing",Non employing,4,0
2003,Port Melbourne,Wholesale Trade,Large business,3,852
2003,Port Melbourne,Wholesale Trade,Small business,21,162
2003,South Yarra,Administrative and Support Services,Small business,1,
2003,South Yarra,Arts and Recreation Services,Non employing,3,0
2003,South Yarra,Arts and Recreation Services,Small business,1,
2003,South Yarra,Education and Training,Large business,1,
2003,South Yarra,Education and Training,Medium business,2,
2003,South Yarra,Education and Training,Non employing,3,0
2003,South Yarra,"Electricity, Gas, Water and Waste Services",Non employing,6,0
2003,South Yarra,Health Care and Social Assistance,Small business,5,19
2003,South Yarra,Information Media and Telecommunications,Small business,1,
2003,South Yarra,Other Services,Non employing,3,0
2003,South Yarra,"Professional, Scientific and Technical Services",Small business,2,
2003,South Yarra,Retail Trade,Small business,10,47
2003,Southbank,Accommodation and Food Services,Small business,51,449
2003,Southbank,Administrative and Support Services,Large business,3,969
2003,Southbank,Arts and Recreation Services,Non employing,6,0
2003,Southbank,Construction,Medium business,4,148
2003,Southbank,"Electricity, Gas, Water and Waste Services",Medium business,3,190
2003,Southbank,"Electricity, Gas, Water and Waste Services",Non employing,18,0
2003,Southbank,Financial and Insurance Services,Small business,15,105
2003,Southbank,Health Care and Social Assistance,Small business,9,30
2003,Southbank,Information Media and Telecommunications,Large business,5,2757
2003,Southbank,Manufacturing,Large business,4,2018
2003,Southbank,Mining,Medium business,1,
2003,Southbank,Other Services,Small business,38,182
2003,Southbank,"Professional, Scientific and Technical Services",Large business,2,
2003,Southbank,Public Administration and Safety,Large business,2,
2003,Southbank,"Rental, Hiring and Real Estate Services",Large business,2,
2003,Southbank,Wholesale Trade,Medium business,2,
2003,West Melbourne (Industrial),Administrative and Support Services,Medium business,1,
2003,West Melbourne (Industrial),"Agriculture, Forestry and Fishing",Small business,1,
2003,West Melbourne (Industrial),Construction,Small business,4,20
2003,West Melbourne (Industrial),Manufacturing,Small business,14,165
2003,West Melbourne (Industrial),Wholesale Trade,Small business,187,1206
2003,West Melbourne (Residential),Accommodation and Food Services,Medium business,1,
2003,West Melbourne (Residential),Accommodation and Food Services,Small business,46,271
2003,West Melbourne (Residential),Administrative and Support Services,Medium business,5,251
2003,West Melbourne (Residential),Administrative and Support Services,Small business,19,132
2003,West Melbourne (Residential),Arts and Recreation Services,Medium business,3,109
2003,West Melbourne (Residential),Construction,Medium business,3,170
2003,West Melbourne (Residential),"Electricity, Gas, Water and Waste Services",Non employing,7,0
2003,West Melbourne (Residential),Financial and Insurance Services,Medium business,3,102
2003,West Melbourne (Residential),Financial and Insurance Services,Small business,14,51
2003,West Melbourne (Residential),Information Media and Telecommunications,Small business,14,83
2003,West Melbourne (Residential),Manufacturing,Non employing,1,
2003,West Melbourne (Residential),Manufacturing,Small business,30,172
2003,West Melbourne (Residential),Mining,Small business,1,
2003,West Melbourne (Residential),Other Services,Medium business,2,
2003,West Melbourne (Residential),"Professional, Scientific and Technical Services",Non employing,2,
2003,West Melbourne (Residential),Public Administration and Safety,Medium business,3,84
2003,West Melbourne (Residential),Public Administration and Safety,Small business,4,17
2003,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Medium business,1,
2003,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Small business,6,26
2003,West Melbourne (Residential),Retail Trade,Small business,47,167
2003,West Melbourne (Residential),Wholesale Trade,Small business,39,202
2004,Carlton,Accommodation and Food Services,Non employing,5,0
2004,Carlton,Accommodation and Food Services,Small business,180,1297
2004,Carlton,Administrative and Support Services,Non employing,1,
2004,Carlton,Administrative and Support Services,Small business,33,217
2004,Carlton,Arts and Recreation Services,Non employing,17,0
2004,Carlton,Education and Training,Large business,4,1097
2004,Carlton,Education and Training,Medium business,15,1123
2004,Carlton,Health Care and Social Assistance,Large business,3,2791
2004,Carlton,Health Care and Social Assistance,Medium business,15,726
2004,Carlton,Information Media and Telecommunications,Large business,1,
2004,Carlton,Other Services,Large business,1,
2004,Carlton,Other Services,Small business,134,658
2004,Carlton,"Professional, Scientific and Technical Services",Large business,1,
2004,Carlton,"Professional, Scientific and Technical Services",Medium business,17,740
2004,Carlton,"Professional, Scientific and Technical Services",Non employing,5,0
2004,Carlton,Public Administration and Safety,Small business,9,37
2004,Carlton,"Rental, Hiring and Real Estate Services",Medium business,1,
2004,Carlton,"Rental, Hiring and Real Estate Services",Small business,21,141
2004,Carlton,Retail Trade,Small business,156,678
2004,Docklands,Administrative and Support Services,Medium business,1,
2004,Docklands,Arts and Recreation Services,Large business,1,
2004,Docklands,Arts and Recreation Services,Non employing,3,0
2004,Docklands,Education and Training,Small business,2,
2004,Docklands,Financial and Insurance Services,Non employing,1,
2004,Docklands,Financial and Insurance Services,Small business,1,
2004,Docklands,Health Care and Social Assistance,Small business,6,32
2004,Docklands,Manufacturing,Medium business,1,
2004,Docklands,Other Services,Small business,10,34
2004,Docklands,Public Administration and Safety,Medium business,4,345
2004,Docklands,Retail Trade,Medium business,1,
2004,Docklands,Retail Trade,Non employing,1,
2004,Docklands,Retail Trade,Small business,14,58
2004,Docklands,"Transport, Postal and Warehousing",Medium business,5,334
2004,Docklands,"Transport, Postal and Warehousing",Small business,11,51
2004,Docklands,Wholesale Trade,Small business,3,26
2004,East Melbourne,Accommodation and Food Services,Medium business,4,174
2004,East Melbourne,Administrative and Support Services,Medium business,4,128
2004,East Melbourne,Arts and Recreation Services,Non employing,14,0
2004,East Melbourne,"Electricity, Gas, Water and Waste Services",Large business,1,
2004,East Melbourne,"Electricity, Gas, Water and Waste Services",Medium business,2,
2004,East Melbourne,Information Media and Telecommunications,Non employing,1,
2004,East Melbourne,Information Media and Telecommunications,Small business,6,39
2004,East Melbourne,Manufacturing,Small business,5,40
2004,East Melbourne,Other Services,Medium business,4,213
2004,East Melbourne,Other Services,Non employing,4,0
2004,East Melbourne,"Professional, Scientific and Technical Services",Non employing,1,
2004,East Melbourne,Public Administration and Safety,Medium business,6,363
2004,East Melbourne,"Rental, Hiring and Real Estate Services",Small business,7,63
2004,East Melbourne,Wholesale Trade,Small business,6,66
2004,Kensington,Accommodation and Food Services,Small business,10,59
2004,Kensington,Arts and Recreation Services,Large business,1,
2004,Kensington,Arts and Recreation Services,Medium business,8,371
2004,Kensington,Construction,Small business,1,
2004,Kensington,Education and Training,Small business,1,
2004,Kensington,Financial and Insurance Services,Small business,2,
2004,Kensington,Other Services,Non employing,1,
2004,Kensington,Other Services,Small business,11,57
2004,Kensington,Retail Trade,Small business,7,40
2004,Kensington,"Transport, Postal and Warehousing",Non employing,1,
2004,Kensington,Wholesale Trade,Non employing,2,
2004,Kensington,Wholesale Trade,Small business,16,125
2004,Melbourne (CBD),Accommodation and Food Services,Large business,3,1245
2004,Melbourne (CBD),Accommodation and Food Services,Medium business,153,6926
2004,Melbourne (CBD),Administrative and Support Services,Small business,420,2384
2004,Melbourne (CBD),Arts and Recreation Services,Small business,84,339
2004,Melbourne (CBD),Education and Training,Large business,7,3145
2004,Melbourne (CBD),Education and Training,Medium business,42,2414
2004,Melbourne (CBD),Education and Training,Non employing,4,0
2004,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Medium business,6,348
2004,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Non employing,34,0
2004,Melbourne (CBD),Health Care and Social Assistance,Medium business,16,676
2004,Melbourne (CBD),Health Care and Social Assistance,Small business,313,1417
2004,Melbourne (CBD),Manufacturing,Non employing,2,
2004,Melbourne (CBD),Manufacturing,Small business,278,902
2004,Melbourne (CBD),Mining,Large business,2,
2004,Melbourne (CBD),Mining,Medium business,3,157
2004,Melbourne (CBD),Mining,Small business,22,137
2004,Melbourne (CBD),Other Services,Small business,510,2260
2004,Melbourne (CBD),"Professional, Scientific and Technical Services",Large business,35,17387
2004,Melbourne (CBD),"Professional, Scientific and Technical Services",Medium business,221,11791
2004,Melbourne (CBD),"Professional, Scientific and Technical Services",Non employing,4,0
2004,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,1131,6633
2004,Melbourne (CBD),Public Administration and Safety,Medium business,74,5471
2004,Melbourne (CBD),Public Administration and Safety,Small business,63,546
2004,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,21,1074
2004,Melbourne (CBD),"Transport, Postal and Warehousing",Non employing,14,0
2004,Melbourne (CBD),Wholesale Trade,Medium business,7,299
2004,Melbourne (Remainder),Accommodation and Food Services,Non employing,1,
2004,Melbourne (Remainder),Accommodation and Food Services,Small business,21,118
2004,Melbourne (Remainder),Administrative and Support Services,Small business,21,118
2004,Melbourne (Remainder),"Agriculture, Forestry and Fishing",Small business,1,
2004,Melbourne (Remainder),Arts and Recreation Services,Medium business,1,
2004,Melbourne (Remainder),Construction,Medium business,1,
2004,Melbourne (Remainder),Construction,Small business,5,40
2004,Melbourne (Remainder),Education and Training,Medium business,3,161
2004,Melbourne (Remainder),Financial and Insurance Services,Large business,3,1394
2004,Melbourne (Remainder),Financial and Insurance Services,Small business,18,108
2004,Melbourne (Remainder),Manufacturing,Small business,5,30
2004,Melbourne (Remainder),Other Services,Medium business,4,176
2004,Melbourne (Remainder),Public Administration and Safety,Medium business,3,192
2004,Melbourne (Remainder),"Rental, Hiring and Real Estate Services",Small business,7,41
2004,Melbourne (Remainder),Retail Trade,Non employing,1,
2004,Melbourne (Remainder),"Transport, Postal and Warehousing",Large business,1,
2004,Melbourne (Remainder),"Transport, Postal and Warehousing",Medium business,1,
